Gene	WT_aerobic	WT_anaerobic
thrL	1	0
thrA	1	1
thrB	1	1
thrC	1	1
yaaX	0	0
yaaA	0	0
yaaJ	0	-1
talB	1	1
mog	0	0
satP	0	0
yaaW	-1	-1
mbiA	-1	-1
yaaI	-1	-1
dnaK	1	1
dnaJ	1	1
insL	0	0
yi82	0	0
mokC	-1	-1
nhaA	0	1
nhaR	0	0
insA	0	0
rpsT	1	1
yaaY	-1	-1
ribF	1	1
ileS	1	1
lspA	1	1
fkpB	1	1
ispH	0	0
rihC	0	0
dapB	1	1
carA	1	1
carB	1	1
caiF	0	1
caiE	-1	-1
caiD	1	0
caiC	0	0
caiB	0	0
caiA	0	0
caiT	-1	-1
fixA	0	0
fixB	0	0
fixC	-1	-1
fixX	-1	-1
yaaU	1	1
kefF	0	0
kefC	0	0
folA	0	0
apaH	1	1
apaG	1	1
rsmA	1	1
pdxA	1	1
surA	1	1
lptD	1	1
djlA	1	1
yabP	0	0
yabQ	1	1
rluA	0	0
rapA	0	0
polB	-1	-1
araD	0	0
araA	-1	-1
araB	0	0
araC	-1	-1
yabI	0	0
thiQ	0	0
thiP	0	0
tbpA	1	0
sgrR	0	0
setA	1	1
leuD	1	1
leuC	1	1
leuB	1	1
leuA	1	1
leuL	1	1
leuO	-1	-1
ilvI	1	1
ilvH	1	1
fruL	1	1
cra	0	1
mraZ	1	1
rsmH	1	1
ftsL	1	1
ftsI	1	1
murE	1	0
murF	1	1
mraY	1	1
murD	0	0
ftsW	0	1
murG	0	0
murC	0	1
ddlB	1	1
ftsQ	1	1
ftsA	1	1
ftsZ	1	1
lpxC	1	1
secM	1	1
secA	1	1
mutT	0	0
b0100	-1	0
yacG	0	0
zapD	0	0
coaE	1	1
guaC	1	1
b0105	-1	0
hofC	-1	-1
hofB	-1	-1
ppdD	-1	-1
nadC	0	0
ampD	0	0
ampE	0	0
aroP	1	1
pdhR	0	0
aceE	1	1
aceF	1	1
lpd	1	1
yacH	-1	-1
acnB	1	0
yacL	1	0
speD	1	1
speE	1	1
yacC	0	1
cueO	1	1
gcd	0	-1
hpt	1	1
can	1	1
yadG	1	1
yadH	0	0
yadI	0	0
yadE	-1	0
panD	1	1
rpnC	-1	0
panC	0	1
panB	1	1
yadC	-1	-1
yadK	-1	-1
yadL	-1	-1
yadM	-1	-1
htrE	-1	-1
yadV	-1	-1
yadN	0	0
folK	0	0
pcnB	1	1
gluQ	-1	-1
dksA	1	1
sfsA	1	1
thpR	0	0
hrpB	0	0
mrcB	0	0
fhuA	0	-1
fhuC	1	0
fhuD	0	0
fhuB	0	0
hemL	0	0
clcA	0	0
erpA	1	1
yadS	0	0
btuF	0	0
mtn	0	0
dgt	-1	-1
degP	0	0
cdaR	0	0
yaeH	1	1
yaeI	-1	-1
b0165	0	0
dapD	1	1
glnD	0	1
map	1	1
rpsB	1	1
tsf	1	1
pyrH	1	1
frr	1	1
dxr	1	1
ispU	1	1
cdsA	0	0
rseP	1	1
bamA	1	1
skp	1	1
lpxD	1	1
fabZ	1	1
lpxA	1	0
lpxB	0	0
rnhB	1	1
dnaE	1	1
accA	1	1
ldcC	0	0
yaeR	0	0
tilS	0	0
rof	0	0
yaeQ	1	1
arfB	1	1
nlpE	1	0
yaeF	0	0
proS	1	1
trmO	0	0
rcsF	1	1
metQ	1	1
metI	1	1
metN	1	1
gmhB	1	1
rrsH	1	1
rrlH	0	0
rrfH	1	1
aspU	1	1
dkgB	0	-1
yafC	-1	0
yafD	0	0
yafE	-1	0
mltD	1	0
gloB	0	0
yafS	0	0
rnhA	0	0
dnaQ	0	0
aspV	1	1
yafT	-1	-1
yafU	-1	-1
yafV	0	0
ivy	1	1
fadE	0	-1
lpcA	1	1
yafJ	1	1
ldtF	1	1
yafQ	0	0
dinJ	1	1
yafL	0	0
rayT	0	0
lfhA	-1	-1
lafU	-1	-1
dinB	0	-1
yafN	-1	-1
yafO	-1	0
yafP	-1	-1
ykfJ	-1	-1
prfH	-1	-1
pepD	1	1
gpt	1	1
frsA	0	0
crl	1	0
phoE	-1	-1
proB	1	1
proA	1	1
thrW	1	1
ykfI	-1	-1
yafW	1	0
ykfG	-1	-1
yafX	-1	-1
ykfF	0	0
ykfB	-1	0
yafY	-1	-1
yafZ	-1	-1
ykfA	0	0
perR	0	0
insN	0	0
insO	-1	0
ykfC	0	0
mmuP	0	0
mmuM	0	0
afuC	0	0
afuB	0	-1
yagB	0	0
yagA	0	0
yagE	-1	-1
yagF	0	0
yagG	-1	-1
yagH	0	0
xynR	0	0
argF	1	1
yagJ	-1	-1
yagK	-1	-1
yagL	-1	-1
yagM	-1	-1
yagN	1	1
intF	0	0
yagP	-1	-1
paoD	-1	-1
paoC	-1	-1
paoB	0	0
paoA	0	0
yagU	1	1
ykgJ	0	0
ecpE	-1	-1
ecpD	0	0
ecpC	0	0
ecpB	-1	-1
ecpA	-1	-1
ecpR	-1	-1
ykgL	-1	-1
ykgM	-1	-1
eaeH	-1	0
ykgA	0	0
rclC	-1	-1
rclB	-1	-1
rclA	-1	-1
rclR	-1	-1
ykgE	0	0
ykgF	-1	0
ykgG	0	0
b0309	-1	-1
ykgH	-1	-1
betA	0	0
betB	0	0
betI	1	0
betT	0	0
pdeL	0	0
yahB	-1	-1
yahC	0	0
yahD	0	0
yahE	-1	-1
yahF	-1	-1
yahG	0	0
yahI	0	-1
yahJ	0	0
yahK	1	0
yahL	-1	-1
yahM	-1	-1
yahN	-1	-1
yahO	1	1
prpR	0	-1
prpB	0	0
prpC	0	0
prpD	-1	-1
prpE	0	0
codB	1	1
codA	1	1
cynR	-1	-1
cynT	0	0
cynS	-1	-1
cynX	0	0
lacA	-1	-1
lacY	-1	-1
lacZ	0	0
lacI	0	0
mhpR	1	0
mhpA	0	0
mhpB	0	0
mhpC	0	0
mhpD	-1	-1
mhpF	-1	-1
mhpE	0	0
mhpT	0	0
yaiL	1	1
frmB	-1	-1
frmA	1	1
frmR	0	0
yaiO	-1	-1
yaiX	-1	-1
insC	1	1
insD	1	1
yaiP	-1	-1
yaiS	0	0
tauA	-1	-1
tauB	-1	-1
tauC	0	-1
tauD	-1	-1
hemB	1	1
ykiB	-1	-1
yaiT	-1	-1
insF	0	0
insE	1	1
yaiU	-1	-1
iprA	-1	-1
ampH	0	0
sbmA	0	0
yaiW	0	0
yaiY	-1	0
yaiZ	-1	-1
ddlA	0	0
iraP	1	1
phoA	0	0
psiF	0	0
dgcC	-1	-1
proC	1	1
yaiI	0	0
aroL	1	1
yaiA	1	1
aroM	0	-1
ppnP	1	1
ykiA	-1	-1
rdgC	1	1
mak	0	1
araJ	-1	-1
sbcC	0	0
sbcD	0	0
phoB	0	0
phoR	-1	-1
brnQ	0	0
proY	0	0
malZ	0	0
acpH	0	0
queA	0	0
tgt	1	1
yajC	1	1
secD	1	1
secF	0	0
yajD	0	1
tsx	1	1
yajI	-1	-1
nrdR	1	1
ribD	1	1
ribE	1	1
nusB	1	1
thiL	1	1
pgpA	0	1
yajO	1	1
dxs	0	0
ispA	1	1
xseB	1	1
thiI	1	0
yajL	1	1
panE	1	0
yajQ	1	1
yajR	0	-1
cyoE	1	0
cyoD	1	-1
cyoC	1	-1
cyoB	1	0
cyoA	1	-1
ampG	0	0
yajG	1	1
bolA	1	1
tig	1	1
clpP	1	1
clpX	1	1
lon	1	1
hupB	1	1
ppiD	1	1
ybaV	1	0
fadM	-1	-1
queC	1	1
ybaE	0	0
cof	0	0
decR	0	0
mdlA	-1	-1
mdlB	-1	-1
glnK	0	0
amtB	1	1
tesB	-1	-1
ybaY	0	-1
atl	0	0
ffs	1	1
ybaA	0	0
pdeB	0	0
ylaC	1	0
maa	0	0
hha	1	1
tomB	1	0
acrB	1	0
acrA	1	1
acrR	-1	-1
mscK	0	0
ybaM	0	0
priC	1	1
ybaN	1	1
apt	1	1
dnaX	1	0
ybaB	1	1
recR	1	0
htpG	0	0
adk	1	1
hemH	0	0
aes	-1	-1
gsk	0	0
ybaL	1	0
fsr	-1	-1
ushA	1	1
ybaK	0	0
ybaP	0	0
ybaQ	0	1
copA	0	-1
glsA	1	1
ybaT	0	1
cueR	0	1
ybbJ	0	0
qmcA	0	0
fetA	0	0
fetB	0	0
cnoX	1	1
ybbO	0	0
tesA	1	1
ybbA	0	0
ybbP	0	0
rhsD	0	0
ybbC	-1	-1
ylbH	-1	-1
ybbD	-1	-1
ylbG	-1	-1
selU	-1	0
allS	-1	-1
allA	0	0
allR	1	1
gcl	-1	-1
hyi	-1	-1
glxR	0	0
b0510	-1	-1
ybbW	-1	-1
allB	-1	-1
ybbY	-1	-1
glxK	-1	0
allE	-1	0
allC	0	0
allD	0	0
fdrA	0	0
b0519	0	0
ylbF	-1	-1
ybcF	1	0
purK	1	1
purE	1	1
lpxH	0	0
ppiB	1	1
cysS	1	1
ybcI	0	0
ybcJ	0	0
folD	1	1
sfmA	-1	-1
sfmC	-1	0
sfmD	-1	0
sfmH	-1	-1
sfmF	1	1
fimZ	-1	-1
argU	0	0
intD	0	0
b0538	-1	-1
ybcC	-1	-1
renD	0	0
emrE	-1	-1
ybcK	-1	-1
ybcL	-1	-1
